============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Po (84)   Ion Mass= 217.9830
Energy  = 1000000.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer1
  Layer # 1 - Bottom Depth=100000.E-01 A
  Layer # 1 - Density =0003.0589 g/cm3
  Layer # 1 -  100 % of Xe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   9.4547E+02 -3.6833E+02 -1.4569E+02
0000002   5.8948E+02 -1.5313E+02 -7.1479E+00
0000003   1.0307E+03  7.7989E+01  1.7835E+02
0000004   4.0317E+02  3.5962E+02  1.4050E+02
0000005   6.7086E+02 -2.3402E+02  8.9322E+01
0000006   7.9340E+02 -1.5466E+01 -1.0433E+02
0000007   4.4875E+02 -1.4162E+02 -1.7902E+02
0000008   3.6467E+02  5.5182E+01  5.1996E+01
0000009   9.9563E+02 -6.9043E+01  7.9152E+02
0000010   7.5657E+02  8.0844E+00  2.2583E+02
0000011   6.8613E+02  4.1563E+02 -1.9839E+02
0000012   6.3163E+02  5.4497E+01 -1.0223E+02
0000013   6.9908E+02  5.4644E+02 -1.7106E+02
0000014   2.2417E+02  6.9992E+01 -3.1296E+02
0000015   4.9176E+02  2.3184E+01  7.3944E+01
0000016   2.1759E+02 -7.2915E+01  9.0579E+01
0000017   9.4504E+02 -5.3823E+02  1.3799E+02
0000018   6.4452E+02 -3.1993E+02 -4.7821E+01
0000019   1.7370E+02 -2.9509E+02  1.9049E+00
0000020   1.1920E+03 -8.2201E+01 -2.7019E+02
0000021   6.4144E+02 -8.3067E+01  2.2761E+02
0000022   4.3127E+02 -8.7447E+00 -6.0696E+01
0000023   9.4761E+02  4.6892E+02 -7.9065E+00
0000024   7.6313E+02 -1.5998E+02  1.4599E+02
0000025   5.1935E+02  2.2325E+02  4.1506E+02
0000026   5.7540E+02 -2.4543E+01  4.6908E+02
0000027   2.7262E+02 -4.1767E+01  2.2549E+02
0000028   6.9810E+02  1.8742E+02  8.7746E+01
0000029   5.3018E+02  2.0704E+02  9.2025E+01
0000030   6.7872E+02  1.5714E+02  1.7404E+02
0000031   4.7319E+02 -2.1756E+02 -2.2471E+02
0000032   9.9134E+02  3.9590E+02 -1.9706E+01
0000033   3.7642E+02 -4.0025E+02 -1.8445E+02
0000034   7.5750E+02  1.4662E+02 -1.0410E+02
0000035   8.3271E+02  2.2896E+02 -2.9824E+02
0000036   6.6341E+02 -1.5674E+02 -8.3500E+01
0000037   6.4493E+02  2.7540E+01 -1.4670E+00
0000038   6.1256E+02  1.1626E+02  3.1410E+01
0000039   3.0205E+02 -2.3476E+02  3.9075E+01
0000040   5.0863E+02  4.5860E+02  2.7821E+02
0000041   6.7295E+02  7.6659E+01  6.0924E+01
0000042   3.0657E+02 -2.2207E+02  1.7040E+02
0000043   5.3833E+02 -3.3808E+01  2.8754E+02
0000044   2.1751E+02  3.8806E+01  2.4087E+01
0000045   2.6100E+02 -2.8925E+01 -1.3904E+02
0000046   3.3842E+02  5.8610E+01  3.9617E+02
0000047   6.8123E+02  9.5540E+01  1.9572E+01
0000048   1.2189E+02 -1.3230E+02  2.4979E+02
0000050   5.3341E+02  2.1281E+01 -9.9995E+01
0000051   6.5962E+02 -5.5739E+02 -1.9990E+02
0000052   3.7316E+02 -3.1072E+02 -1.8817E+02
0000053   2.2608E+02  7.9693E+00  2.1646E+02
0000054   5.8167E+02  1.8655E+02  1.6120E+02
0000055   1.0756E+03  7.5408E+01 -2.0865E+02
0000056   3.2764E+02 -2.2875E+02  7.8597E+01
0000057   1.0821E+03  1.7417E+02  4.2950E+02
0000058   7.1489E+02  5.8568E+02 -2.7027E+01
0000060   7.1682E+02 -6.1702E+02  4.9420E+01
0000061   8.3301E+02  7.9578E+01  3.3522E+02
0000062   5.1306E+02  2.8732E+02 -1.5983E+02
0000063   7.0644E+02  1.9601E+02 -4.0267E+02
0000064   1.8858E+02 -2.0661E+02  8.0087E+01
0000065   4.8922E+02 -2.2346E+02 -3.0838E+02
0000066   1.0700E+03  3.0294E+02 -3.0731E+02
0000067   7.6986E+02 -2.7427E+02  2.8975E+02
0000068   2.6094E+02 -2.6515E+02  6.0906E+01
0000069   4.2281E+02  3.0342E+01  4.6623E+02
0000070   1.3048E+03  3.0749E+01  5.1985E+01
0000071   3.7458E+02 -1.0489E+01  8.3147E+01
0000072   6.9122E+02 -3.5212E+02  6.8173E+01
0000073   4.5181E+02 -2.1292E+02 -2.7862E+01
0000074   6.3990E+02 -2.5369E+02 -4.5657E+01
0000075   5.8528E+02  3.4215E+02 -4.3433E+02
0000076   1.0127E+03  8.9359E+01  1.7972E+02
0000077   6.5506E+02 -8.2853E+01  5.0952E+02
0000078   8.0123E+02  1.9119E+02  1.9011E+02
0000079   7.0137E+02  2.1948E+02  2.3490E+02
0000080   4.2218E+02 -6.0371E+00 -1.1708E+02
0000081   6.5927E+02 -4.9012E+02 -2.1779E+01
0000082   3.3983E+02  1.6922E+02 -1.3027E+02
0000083   6.0921E+02 -3.9815E+01 -1.8293E+02
0000084   1.1103E+03  1.7340E+02 -6.7736E+01
0000085   5.6902E+02 -1.3075E+02  1.6662E+02
0000086   4.2249E+02 -2.6413E+01 -7.7964E+01
0000087   5.2330E+02 -3.9000E+02  2.3124E+02
0000088   6.6952E+02 -4.4113E+00  6.6048E+01
0000089   1.1498E+03  1.2999E+02  2.5988E+02
0000090   2.7289E+02 -1.4487E+02 -1.6113E+02
0000091   3.6976E+02  3.2722E+02 -1.0407E+02
0000092   6.1521E+02  1.1550E+02  1.0769E+02
0000093   8.4650E+02  3.7905E+01 -6.6468E+01
0000094   7.1619E+02  2.2587E+02  1.5079E+02
0000095   6.1112E+02 -9.0480E+01  3.3577E+02
0000096   3.2614E+02  1.4402E+02 -6.6803E+01
0000097   7.5744E+02  6.5157E+01 -4.2118E+02
0000098   1.3599E+03 -3.0172E+02 -1.7984E+01
0000099   6.5468E+02  2.3912E+02 -2.3483E+02
0000100   7.8706E+02  3.2695E+01 -1.4627E+02
0000101   4.9790E+02 -2.9885E+01  6.5588E+01
0000102   7.4551E+02  4.4188E+02 -2.3214E+02
0000103   3.5838E+02  4.1282E+02  2.2604E+02
0000104   2.2106E+02 -2.2297E+02  4.4465E+01
0000105   7.7202E+02 -9.9510E+01 -2.4194E+02
0000106   7.3731E+02 -3.5653E+02  2.1554E+02
0000107   9.8203E+02  2.7380E+02  3.2480E+02
0000108   6.8977E+02  5.0883E+00 -2.5241E+02
0000109   7.0160E+02  1.2402E+02 -7.2051E+01
