Time (x5 s) - Plot 0	P (mbar) - Plot 0	
0	1212.8	
1	1212.8	
2	1212.8	
3	1212.7	
4	1212.7	
5	1212.7	
6	1212.7	
7	1212.7	
8	1212.7	
9	1212.7	
10	1212.6	
11	1212.7	
12	1212.7	
13	1212.5	
14	1212.5	
15	1212.6	
16	1212.6	
17	1212.5	
18	1212.5	
19	1212.4	
20	1212.5	
21	1212.5	
22	1212.5	
23	1212.5	
24	1212.4	
25	1212.5	
26	1212.4	
27	1212.4	
28	1212.4	
29	1212.5	
30	1212.4	
31	1212.4	
32	1212.4	
33	1212.3	
34	1212.4	
35	1212.5	
36	1212.4	
37	1212.4	
38	1212.4	
39	1212.3	
40	1212.3	
41	1212.3	
42	1212.3	
43	1212.3	
44	1212.3	
45	1212.3	
46	1212.4	
47	1212.3	
48	1212.3	
49	1212.4	
50	1212.2	
51	1212.3	
52	1212.3	
53	1212.3	
54	1212.2	
55	1212.3	
56	1212.2	
57	1212.3	
58	1212.3	
59	1212.3	
60	1212.1	
61	1212.3	
62	1212.2	
63	1212.2	
64	1212.3	
65	1212.2	
66	1212.2	
67	1212.2	
68	1212.3	
69	1212.3	
70	1212.2	
71	1212.2	
72	1212.2	
73	1212.2	
74	1212.2	
75	1212.2	
76	1212.2	
77	1212.2	
78	1212.1	
79	1212.2	
80	1212.2	
81	1212.2	
82	1212.1	
83	1212.1	
84	1212.1	
85	1212.1	
86	1212.2	
87	1212.1	
88	1212.1	
89	1212.1	
90	1212.2	
91	1212.1	
92	1212.1	
93	1212.1	
94	1212.1	
95	1212.1	
96	1212.1	
97	1212.1	
98	1212.1	
99	1212.1	
100	1212.1	
101	1212.1	
102	1212.1	
103	1212.1	
104	1212.2	
105	1212.1	
106	1212.1	
107	1212	
108	1212.1	
109	1212	
110	1212	
111	1212	
112	1212.1	
113	1212	
114	1212	
115	1212	
116	1212	
117	1212	
118	1212	
119	1211.9	
120	1212	
121	1212	
122	1212	
123	1212	
124	1212	
125	1212	
126	1212	
127	1211.9	
128	1211.9	
129	1211.9	
130	1211.9	
131	1211.9	
132	1212	
133	1211.9	
134	1211.9	
135	1211.9	
136	1211.9	
137	1211.9	
138	1211.9	
139	1211.9	
140	1211.9	
141	1211.9	
142	1211.9	
143	1211.8	
144	1211.9	
145	1211.8	
146	1211.8	
147	1211.8	
148	1211.9	
149	1211.8	
150	1211.9	
151	1211.8	
152	1211.8	
153	1211.8	
154	1211.8	
155	1211.9	
156	1211.8	
157	1211.8	
158	1211.8	
159	1211.8	
160	1211.8	
161	1211.8	
162	1211.8	
163	1211.8	
164	1211.8	
165	1211.8	
166	1211.8	
167	1211.8	
168	1211.8	
169	1211.7	
170	1211.8	
171	1211.8	
172	1211.8	
173	1211.8	
174	1211.9	
175	1211.8	
176	1211.8	
177	1211.8	
178	1211.8	
179	1211.7	
180	1211.8	
181	1211.8	
182	1211.8	
183	1211.8	
184	1211.8	
185	1211.8	
186	1211.8	
187	1211.8	
188	1211.8	
189	1211.8	
190	1211.8	
191	1211.8	
192	1211.7	
193	1211.8	
194	1211.8	
195	1211.8	
196	1211.8	
197	1211.9	
198	1211.8	
199	1211.8	
200	1211.8	
201	1211.8	
202	1211.8	
203	1211.8	
204	1211.8	
205	1211.8	
206	1211.8	
207	1211.8	
208	1211.8	
209	1211.8	
210	1211.7	
211	1211.8	
212	1211.8	
213	1211.8	
214	1211.8	
215	1211.8	
216	1211.8	
217	1211.8	
218	1211.8	
219	1211.7	
220	1211.7	
221	1211.8	
222	1211.8	
223	1211.8	
224	1211.7	
225	1211.7	
226	1211.8	
227	1211.8	
228	1211.7	
229	1211.7	
230	1211.8	
231	1211.7	
232	1211.7	
233	1211.8	
