Time (x5 s) - Plot 0	P (mbar) - Plot 0	
0	1529.4	
1	1529.7	
2	1529.9	
3	1530.1	
4	1530.2	
5	1530.3	
6	1530.3	
7	1530.4	
8	1530.3	
9	1530.3	
10	1524.1	
11	1520	
12	1515	
13	1535.1	
14	1551.2	
15	1565.7	
16	1578.7	
17	1590.4	
18	1601.1	
19	1610.7	
20	1619.7	
21	1627.5	
22	1634.4	
23	1640.8	
24	1639.3	
25	1631.2	
26	1649	
27	1645.3	
28	1642.8	
29	1641.3	
30	1598.7	
31	1556.3	
32	1525.8	
33	1534	
34	1543.4	
35	1551.2	
36	1558	
37	1564	
38	1569.4	
39	1574.2	
40	1578.3	
41	1582	
42	1585.3	
43	1588.2	
44	1590.8	
45	1592.9	
46	1591.9	
47	1588.3	
48	1585.7	
49	1583.5	
50	1582.4	
51	1581.5	
52	1580.8	
53	1580.1	
54	1579.7	
55	1579.4	
56	1579.3	
57	1579.4	
58	1579.3	
59	1579.3	
60	1579.3	
61	1579.3	
62	1579.4	
63	1579.3	
64	1579.5	
65	1579.5	
66	1579.6	
67	1579.6	
68	1579.8	
69	1579.9	
70	1580.1	
71	1580.2	
72	1580.4	
73	1580.5	
74	1580.7	
75	1580.9	
76	1581	
77	1581.2	
78	1581.3	
79	1581.6	
80	1581.8	
81	1581.9	
82	1582.1	
83	1582.3	
84	1582.5	
85	1582.7	
86	1582.9	
87	1583.1	
88	1583.2	
89	1583.4	
90	1583.6	
91	1583.8	
92	1583.9	
93	1584	
94	1584.2	
95	1584.4	
96	1584.6	
97	1584.7	
98	1584.8	
99	1585	
100	1585.1	
101	1585.3	
102	1585.4	
103	1585.5	
104	1585.6	
105	1585.7	
106	1585.9	
107	1586	
108	1586.2	
109	1586.3	
110	1586.4	
111	1586.5	
112	1586.6	
113	1586.8	
114	1586.8	
115	1586.9	
116	1587.2	
117	1587.4	
118	1587.5	
119	1587.7	
120	1588	
121	1588.3	
122	1588.4	
123	1588.5	
124	1588.5	
125	1588.6	
126	1588.6	
127	1588.6	
128	1588.6	
129	1588.6	
130	1588.6	
131	1588.6	
132	1588.7	
133	1588.7	
134	1588.8	
135	1588.7	
136	1588.7	
137	1588.8	
138	1588.8	
139	1588.8	
140	1588.5	
141	1588.5	
142	1588.4	
143	1588.4	
144	1588.2	
145	1588.2	
146	1588.1	
147	1588.1	
148	1588.1	
149	1588.1	
150	1588.1	
151	1588	
152	1588.1	
153	1588.2	
154	1588.1	
155	1588.2	
156	1588.2	
157	1588.2	
158	1588.3	
159	1588.3	
160	1588.3	
161	1588.4	
162	1588.5	
163	1588.5	
164	1588.5	
165	1588.6	
166	1588.7	
167	1588.8	
168	1588.8	
169	1588.9	
170	1588.9	
171	1588.9	
172	1589	
173	1589.1	
174	1589.1	
175	1589.2	
176	1589.2	
177	1589.3	
178	1589.4	
179	1589.4	
180	1589.4	
181	1589.5	
182	1589.5	
183	1589.6	
184	1589.7	
185	1589.7	
186	1589.7	
187	1589.8	
188	1589.9	
189	1589.9	
190	1589.9	
191	1589.9	
192	1590	
193	1590	
194	1590.1	
195	1590.1	
196	1590.1	
197	1590.2	
198	1590.2	
199	1590.2	
200	1590.3	
201	1590.3	
202	1590.4	
203	1590.3	
204	1590.4	
205	1590.4	
206	1590.4	
207	1590.4	
208	1590.4	
209	1590.4	
210	1590.4	
211	1590.5	
212	1590.5	
213	1590.5	
214	1590.5	
215	1590.6	
216	1590.6	
217	1590.6	
218	1590.6	
219	1590.6	
220	1590.6	
221	1590.6	
222	1590.7	
223	1590.7	
224	1590.7	
225	1590.7	
226	1590.7	
227	1590.6	
228	1590.7	
229	1590.7	
230	1590.7	
231	1590.7	
232	1590.6	
233	1590.7	
234	1590.7	
235	1590.7	
236	1590.7	
237	1590.7	
238	1590.6	
239	1590.6	
240	1590.6	
241	1590.6	
242	1590.5	
243	1590.6	
244	1590.6	
245	1590.5	
246	1590.5	
247	1590.5	
248	1590.5	
249	1590.4	
250	1590.4	
251	1590.3	
252	1590.3	
253	1590.2	
254	1590.3	
255	1590.2	
256	1590.1	
257	1590.1	
258	1590	
259	1590.1	
260	1590	
261	1589.9	
262	1590	
263	1589.9	
264	1589.9	
265	1589.8	
266	1589.8	
267	1589.7	
268	1589.7	
269	1589.6	
270	1589.6	
271	1589.6	
272	1589.6	
273	1589.5	
274	1589.4	
275	1589.4	
276	1589.4	
277	1589.3	
278	1589.2	
279	1589.2	
280	1589.1	
281	1589	
282	1589	
283	1588.9	
284	1588.9	
285	1588.9	
286	1588.8	
287	1588.7	
288	1588.7	
289	1588.6	
290	1588.5	
291	1588.5	
292	1588.5	
293	1588.4	
294	1588.4	
295	1588.4	
296	1588.2	
297	1588.2	
298	1588.2	
299	1588	
300	1588	
301	1587.9	
302	1587.9	
303	1587.9	
304	1587.8	
305	1587.7	
306	1587.7	
307	1587.6	
308	1587.5	
309	1587.5	
310	1587.5	
311	1587.3	
312	1587.3	
313	1587.2	
314	1587.2	
315	1587.1	
316	1587.1	
317	1586.9	
318	1586.9	
319	1586.8	
320	1586.8	
321	1586.8	
322	1586.7	
323	1586.6	
324	1586.5	
325	1586.5	
326	1586.5	
327	1586.4	
328	1586.4	
329	1586.3	
330	1586.3	
331	1586.2	
332	1586.2	
333	1586.1	
334	1586.1	
335	1586	
336	1585.9	
337	1585.9	
338	1585.8	
339	1585.7	
340	1585.6	
341	1585.7	
342	1585.5	
343	1585.5	
344	1585.5	
345	1585.4	
346	1585.3	
347	1585.2	
348	1585.2	
349	1585.1	
350	1585.1	
351	1585.1	
352	1585	
353	1584.9	
354	1584.9	
355	1584.8	
356	1584.8	
357	1584.7	
358	1584.6	
359	1584.6	
360	1584.6	
361	1584.5	
362	1584.5	
363	1584.4	
364	1584.5	
365	1584.3	
366	1584.4	
367	1584.2	
368	1584.1	
369	1584.1	
370	1584	
371	1584	
372	1583.9	
373	1584	
374	1583.8	
375	1583.8	
376	1583.8	
377	1583.7	
378	1583.8	
379	1583.6	
380	1583.6	
381	1583.5	
382	1583.5	
383	1583.4	
384	1583.4	
385	1583.3	
386	1583.3	
387	1583.2	
388	1583.1	
389	1583.1	
390	1583.1	
391	1583.1	
392	1583	
393	1583	
394	1583	
395	1583	
396	1583	
397	1582.9	
398	1583	
399	1582.9	
400	1582.9	
401	1582.9	
402	1582.8	
403	1582.8	
404	1582.8	
405	1582.8	
406	1582.7	
407	1582.6	
408	1582.7	
409	1582.6	
410	1582.6	
411	1582.7	
412	1582.6	
413	1582.6	
414	1582.6	
415	1582.5	
416	1582.4	
417	1582.5	
418	1582.5	
419	1582.5	
420	1582.4	
421	1582.4	
422	1582.4	
423	1582.4	
424	1582.3	
425	1582.3	
426	1582.4	
427	1582.3	
428	1582.3	
429	1582.3	
430	1582.3	
431	1582.3	
432	1582.3	
433	1582.3	
434	1582.3	
